ID;Centers;Distance;TotalCluster_Charles;Iterations_Charles;Jaccard_Charles;Rand_Charles;TotalCluster_Hanam;Iterations_Hanam;Jaccard_Hanam;Rand_Hanam;Has_Result_Diff
77;8;manhattan;8;0;0.238095238095238;0.606153846153846;8;0;0.303703703703704;0.710769230769231;TRUE
105;8;manhattan;8;0;0.253164556962025;0.636923076923077;8;0;0.372881355932203;0.772307692307692;TRUE
133;8;manhattan;8;0;0.208053691275168;0.636923076923077;8;0;0.299270072992701;0.704615384615385;TRUE
161;8;manhattan;8;0;0.356521739130435;0.772307692307692;8;0;0.530434782608696;0.833846153846154;TRUE
189;8;manhattan;8;0;0.340425531914894;0.713846153846154;8;0;0.244444444444444;0.686153846153846;TRUE
217;8;manhattan;8;0;0.525;0.824615384615385;8;0;0.21969696969697;0.683076923076923;TRUE
245;8;manhattan;8;0;0.678260869565217;0.886153846153846;8;0;0.281481481481481;0.701538461538462;TRUE
273;8;manhattan;8;0;0.520661157024793;0.821538461538462;8;0;0.195402298850575;0.569230769230769;TRUE
8;9;euclidean;9;90;0.225;0.713846153846154;9;18;0.267241379310345;0.738461538461539;TRUE
36;9;euclidean;9;26;0.267241379310345;0.738461538461539;9;32;0.267241379310345;0.738461538461539;FALSE
64;9;euclidean;9;25;0.201612903225806;0.695384615384615;9;22;0.25;0.732307692307692;TRUE
92;9;euclidean;9;33;0.307692307692308;0.750769230769231;9;38;0.359649122807018;0.775384615384615;TRUE
120;9;euclidean;9;30;0.241379310344828;0.729230769230769;9;35;0.232758620689655;0.726153846153846;TRUE
148;9;euclidean;9;21;0.289473684210526;0.750769230769231;9;48;0.243697478991597;0.723076923076923;TRUE
176;9;euclidean;9;90;0.225;0.713846153846154;9;29;0.301724137931034;0.750769230769231;TRUE
204;9;euclidean;9;41;0.226890756302521;0.716923076923077;9;48;0.356521739130435;0.772307692307692;TRUE
232;9;euclidean;9;35;0.359649122807018;0.775384615384615;9;29;0.210084033613445;0.710769230769231;TRUE
260;9;euclidean;9;74;0.214876033057851;0.707692307692308;9;18;0.278260869565217;0.744615384615385;TRUE
22;9;manhattan;9;0;0.22962962962963;0.68;9;0;0.177777777777778;0.658461538461538;TRUE
50;9;manhattan;9;0;0.257142857142857;0.68;9;0;0.359649122807018;0.775384615384615;TRUE
78;9;manhattan;9;0;0.298245614035088;0.753846153846154;9;0;0.3;0.72;TRUE
106;9;manhattan;9;0;0.259459459459459;0.578461538461538;9;0;0.310924369747899;0.747692307692308;TRUE
134;9;manhattan;9;0;0.373913043478261;0.778461538461538;9;0;0.145695364238411;0.603076923076923;TRUE
162;9;manhattan;9;0;0.295454545454545;0.713846153846154;9;0;0.309859154929577;0.698461538461538;TRUE
190;9;manhattan;9;0;0.279411764705882;0.698461538461538;9;0;0.338709677419355;0.747692307692308;TRUE
218;9;manhattan;9;0;0.27536231884058;0.692307692307692;9;0;0.246153846153846;0.698461538461538;TRUE
246;9;manhattan;9;0;0.241666666666667;0.72;9;0;0.435064935064935;0.732307692307692;TRUE
274;9;manhattan;9;0;0.276923076923077;0.710769230769231;9;0;0.224806201550388;0.692307692307692;TRUE
9;10;euclidean;10;22;0.258620689655172;0.735384615384615;10;17;0.232758620689655;0.726153846153846;TRUE
37;10;euclidean;10;17;0.154471544715447;0.68;10;43;0.221311475409836;0.707692307692308;TRUE
65;10;euclidean;10;26;0.226890756302521;0.716923076923077;10;41;0.307017543859649;0.756923076923077;TRUE
93;10;euclidean;10;23;0.359649122807018;0.775384615384615;10;33;0.258620689655172;0.735384615384615;TRUE
121;10;euclidean;10;15;0.25;0.732307692307692;10;25;0.271929824561404;0.744615384615385;TRUE
149;10;euclidean;10;100;0.252032520325203;0.716923076923077;10;53;0.28099173553719;0.732307692307692;TRUE
177;10;euclidean;10;42;0.243697478991597;0.723076923076923;10;21;0.342105263157895;0.769230769230769;TRUE
205;10;euclidean;10;23;0.347826086956522;0.769230769230769;10;67;0.25;0.732307692307692;TRUE
233;10;euclidean;10;24;0.307017543859649;0.756923076923077;10;17;0.206896551724138;0.716923076923077;TRUE
261;10;euclidean;10;18;0.258620689655172;0.735384615384615;10;17;0.28099173553719;0.732307692307692;TRUE
23;10;manhattan;10;0;0.306451612903226;0.735384615384615;10;0;0.426086956521739;0.796923076923077;TRUE
51;10;manhattan;10;0;0.28695652173913;0.747692307692308;10;0;0.324561403508772;0.763076923076923;TRUE
79;10;manhattan;10;0;0.418604651162791;0.769230769230769;10;0;0.347826086956522;0.769230769230769;TRUE
107;10;manhattan;10;0;0.552631578947368;0.843076923076923;10;0;0.277310924369748;0.735384615384615;TRUE
135;10;manhattan;10;0;0.25503355704698;0.658461538461538;10;0;0.172185430463576;0.615384615384615;TRUE
163;10;manhattan;10;0;0.284023668639053;0.627692307692308;10;0;0.255172413793103;0.667692307692308;TRUE
191;10;manhattan;10;0;0.304;0.732307692307692;10;0;0.288;0.726153846153846;TRUE
219;10;manhattan;10;0;0.21969696969697;0.683076923076923;10;0;0.247863247863248;0.729230769230769;TRUE
247;10;manhattan;10;0;0.253968253968254;0.710769230769231;10;0;0.335616438356164;0.701538461538462;TRUE
275;10;manhattan;10;0;0.254098360655738;0.72;10;0;0.482456140350877;0.818461538461538;TRUE
