"","ID","Epsilon","MinPts","TotalCluster_Charles","TotalOutliers_Charles","Jaccard_Charles","Rand_Charles","TotalOutliers_Hanam","TotalCluster_Hanam","Jaccard_Hanam","Rand_Hanam","dirf_Charles_Vs_Hanam"
"232",232,2.5,5,1,3,0.381132075471698,0.495384615384615,3,1,0.381132075471698,0.495384615384615,TRUE
"233",233,2.5,6,1,3,0.381132075471698,0.495384615384615,3,1,0.381132075471698,0.495384615384615,TRUE
"234",234,2.5,7,1,3,0.381132075471698,0.495384615384615,3,1,0.381132075471698,0.495384615384615,TRUE
"235",235,2.5,8,1,3,0.381132075471698,0.495384615384615,3,1,0.381132075471698,0.495384615384615,TRUE
"236",236,2.5,9,1,3,0.381132075471698,0.495384615384615,3,1,0.381132075471698,0.495384615384615,TRUE
"237",237,2.5,10,1,3,0.381132075471698,0.495384615384615,3,1,0.381132075471698,0.495384615384615,TRUE
"238",238,2.5,11,1,3,0.381132075471698,0.495384615384615,3,1,0.381132075471698,0.495384615384615,TRUE
"239",239,2.5,12,1,3,0.381132075471698,0.495384615384615,3,1,0.381132075471698,0.495384615384615,TRUE
"240",240,2.5,13,1,3,0.381132075471698,0.495384615384615,3,1,0.381132075471698,0.495384615384615,TRUE
"241",241,2.5,14,1,3,0.381132075471698,0.495384615384615,3,1,0.381132075471698,0.495384615384615,TRUE
"242",242,2.5,15,1,3,0.381132075471698,0.495384615384615,3,1,0.381132075471698,0.495384615384615,TRUE
"243",243,2.5,16,1,3,0.381132075471698,0.495384615384615,3,1,0.381132075471698,0.495384615384615,TRUE
