"","ID","Centers","NumbTest","TotalCluster_Charles","TotalSumSquares_Charles","TotalwithinClusterSumSquares_Charles","TotalBetweenClusterSumSquares_Charles","Iterations_Charles","FaultInAlgorithm_Charles","Jaccard_Charles","Rand_Charles","TotalCluster_Hanam","TotalSumSquares_Hanam","TotalwithinClusterSumSquares_Hanam","TotalBetweenClusterSumSquares_Hanam","Iterations_Hanam","FaultInAlgorithm_Hanam","Jaccard_Hanam","Rand_Hanam","Has_Result_Diff"
"77",77,8,6,8,118.884615384615,17.0333333333333,101.851282051282,2,0,0.508771929824561,0.827692307692308,8,117.923076923077,17.5833333333333,100.339743589744,3,0,0.666666666666667,0.883076923076923,TRUE
"78",78,9,6,9,118.884615384615,13.0333333333333,105.851282051282,4,0,0.491228070175439,0.821538461538462,9,117.923076923077,18.1111111111111,99.8119658119658,2,0,0.43859649122807,0.803076923076923,TRUE
"79",79,10,6,10,118.884615384615,11.7619047619048,107.122710622711,2,0,0.307017543859649,0.756923076923077,10,117.923076923077,11.2619047619048,106.661172161172,3,0,0.307017543859649,0.756923076923077,FALSE
"80",80,11,6,11,118.884615384615,9.33333333333334,109.551282051282,2,0,0.298245614035088,0.753846153846154,11,117.923076923077,10.5,107.423076923077,2,0,0.254385964912281,0.738461538461539,TRUE
"81",81,12,6,12,118.884615384615,6.46666666666667,112.417948717949,2,0,0.210526315789474,0.723076923076923,12,117.923076923077,6.20833333333333,111.714743589744,3,0,0.333333333333333,0.766153846153846,TRUE
"82",82,13,6,13,118.884615384615,6.66666666666667,112.217948717949,2,0,0.228070175438596,0.729230769230769,13,117.923076923077,7.96666666666667,109.95641025641,2,0,0.201754385964912,0.72,TRUE
"83",83,14,6,14,118.884615384615,5.66666666666667,113.217948717949,3,0,0.219298245614035,0.726153846153846,14,117.923076923077,3.63333333333333,114.289743589744,2,0,0.184210526315789,0.713846153846154,TRUE
"84",84,15,6,15,118.884615384615,2.8,116.084615384615,2,0,0.166666666666667,0.707692307692308,15,117.923076923077,3.3,114.623076923077,2,0,0.166666666666667,0.707692307692308,FALSE
"85",85,2,7,2,118.884615384615,85.2800000000001,33.6046153846153,1,0,0.348684210526316,0.390769230769231,2,117.923076923077,84.3200000000001,33.6030769230768,1,0,0.348684210526316,0.390769230769231,FALSE
"86",86,3,7,3,118.884615384615,68.8636363636359,50.0209790209795,2,0,0.445378151260504,0.593846153846154,3,117.923076923077,68.7573529411764,49.1657239819006,2,0,0.513812154696133,0.729230769230769,TRUE
