ClusterID; BCTs; BasicChanges; Complexity; ProjectCount; Instances; ContainsInstances
30 ; RESERVED:ASSIGNMENT_RHS:INSERTED:global:true:1.0 ; 1 ; 1 ; 41 ; 189 ; 110853, 94212, 48393, 93448, 24330, 122123, 119562, 58893, 70412, 115727, 89870, 85521, 71696, 133139, 36884, 48916, 85524, 132885, 112153, 4121, 35867, 87581, 106524, 133152, 134688, 57379, 113698, 11812, 9765, 134180, 95270, 127529, 8233, 107565, 115501, 130092, 13614, 116015, 127791, 46384, 139314, 819, 47668, 8247, 116790, 129851, 7483, 27196, 118076, 74559, 56127, 16449, 35907, 49223, 12618, 87371, 107082, 3660, 102223, 129870, 16467, 1620, 120661, 4693, 10071, 31833, 9307, 57179, 48222, 93023, 63327, 50017, 134243, 12387, 133222, 74089, 10604, 15471, 56687, 78704, 114803, 127603, 24435, 48499, 108660, 10615, 68987, 6268, 107133, 134527, 36223, 41087, 113534, 36480, 121986, 115589, 90244, 132740, 117382, 122758, 90250, 113549, 58253, 133005, 47251, 93074, 24468, 118165, 66713, 47001, 32666, 24481, 28321, 9890, 24738, 11427, 60067, 120228, 79014, 29100, 89516, 22190, 102321, 133299, 3506, 112051, 121266, 60088, 65977, 19130, 130235, 11963, 59579, 12732, 65724, 133826, 4292, 65732, 39879, 75208, 68811, 30411, 69837, 123085, 12237, 110799, 102609, 48593, 108755, 84692, 69847, 30936, 92889, 97501, 55518, 58078, 49632, 70369, 72416, 75488, 107491, 84453, 133094, 130790, 24040, 39912, 104937, 36585, 95208, 15339, 26860, 47341, 48621, 26862, 127471, 27119, 68337, 128241, 95216, 111344, 95733, 106996, 60150, 97014, 98294, 49657, 24058, 37117, 49661
31 ; RESERVED:STATEMENT:INSERTED:global:var:1.0 , RESERVED:CONDITION:INSERTED:global:falsey:1.0 ; 2 ; 3 ; 32 ; 79 ; 12032, 126849, 130309, 133508, 24839, 97542, 104968, 96397, 67084, 71951, 60688, 106129, 54033, 27666, 55058, 105618, 96533, 100885, 113556, 54678, 113302, 11418, 86555, 86554, 61724, 100892, 65567, 52640, 103200, 64935, 7593, 123304, 133417, 94258, 132023, 134839, 63798, 98871, 98873, 121145, 75835, 132153, 98876, 14783, 63173, 75974, 98123, 135112, 44236, 5199, 98254, 125521, 61137, 74457, 134106, 28505, 106584, 58715, 121050, 15452, 82397, 95452, 87265, 93154, 96485, 39269, 114921, 62953, 44267, 110186, 90479, 19960, 128121, 12025, 98680, 76026, 41212, 109181, 33535
32 ; RESERVED:ASSIGNMENT_LHS:INSERTED:global:this:2.0 ; 1 ; 2 ; 5 ; 7 ; 34753, 108768, 72293, 25863, 73848, 105085, 115375
33 ; RESERVED:ASSIGNMENT_RHS:REMOVED:global:false:1.0 , RESERVED:ASSIGNMENT_RHS:INSERTED:global:true:1.0 ; 2 ; 1 ; 15 ; 25 ; 55746, 105090, 70020, 34129, 53141, 59990, 113559, 14680, 26584, 16538, 53082, 6940, 85471, 27049, 26924, 116269, 76780, 105196, 113010, 17268, 54837, 73780, 15288, 107128, 12988
34 ; RESERVED:CONDITION:INSERTED:global:falsey:1.0 , RESERVED:STATEMENT:UPDATED:global:var:1.0 ; 2 ; 2 ; 42 ; 144 ; 102915, 87557, 126981, 7942, 58376, 127242, 96780, 132627, 112146, 127765, 96276, 101911, 122647, 131604, 30743, 37144, 58392, 43291, 71706, 135961, 96031, 8479, 120606, 111395, 50724, 113963, 94506, 59180, 64302, 17967, 35119, 113971, 73266, 87860, 119350, 72764, 69700, 124232, 126536, 120906, 137801, 16716, 109134, 33872, 31826, 127316, 98135, 127318, 72281, 68705, 87649, 105313, 10596, 78437, 63591, 47466, 82283, 20331, 74860, 107884, 61041, 99955, 123250, 130165, 37500, 42366, 136061, 119683, 69509, 126853, 130951, 43913, 113291, 127371, 136584, 31115, 134285, 38544, 113553, 126864, 8850, 47763, 126614, 86424, 69791, 69278, 23969, 65955, 98978, 134566, 135590, 124071, 88230, 108719, 8879, 75950, 115633, 83892, 134071, 73655, 9656, 130488, 50362, 130747, 59069, 89793, 15810, 50626, 82370, 119494, 117704, 96971, 132808, 134344, 24523, 31951, 17360, 69329, 125905, 12754, 66259, 131028, 73942, 37081, 22748, 36061, 82652, 99036, 135650, 138467, 126691, 69858, 79339, 93932, 73711, 5873, 129008, 31476, 124917, 48119, 124155, 124159, 82686, 136957
35 ; FIELD:CONDITION:INSERTED:global:length:1.0 , RESERVED:CONDITION:INSERTED:global:typeof:1.0 ; 2 ; 1 ; 13 ; 17 ; 40067, 139558, 74916, 62537, 15114, 78605, 121900, 87983, 80910, 47287, 101883, 61597, 63517, 1470, 35134, 139292, 105342
36 ; RESERVED:CONDITION:INSERTED:global:this:1.0 ; 1 ; 1 ; 10 ; 10 ; 34016, 78897, 43921, 33682, 31414, 110343, 81017, 108952, 29611, 105354
37 ; RESERVED:CONDITION:INSERTED:global:sheq:1.0 , RESERVED:CONDITION:INSERTED:global:falsey:2.0 ; 2 ; 1 ; 6 ; 6 ; 12849, 130512, 14550, 60841, 122060, 121902
38 ; RESERVED:ARGUMENT:REMOVED:global:null:1.0 ; 1 ; 1 ; 14 ; 16 ; 81921, 122179, 65924, 91274, 47408, 71666, 127602, 40052, 97397, 105813, 105716, 85207, 63383, 110360, 4538, 115487
39 ; RESERVED:METHOD_CALL:REMOVED:global:this:1.0 ; 1 ; 2 ; 20 ; 53 ; 26880, 26885, 31109, 55176, 35081, 105744, 35090, 48914, 61972, 7961, 13081, 48537, 33053, 36765, 111263, 40738, 51878, 8232, 38184, 27305, 33712, 33203, 109627, 45499, 92218, 12860, 70083, 55876, 48074, 110283, 54350, 29263, 47567, 15317, 51670, 62936, 131162, 45022, 25695, 122720, 57065, 40045, 15728, 40689, 45300, 40437, 21878, 43126, 35960, 108409, 54265, 48894, 94846
